"week","avg_n1"
0,25.1192130425
1,60.375305855
2,10.877064167375
3,13.7487450433333
4,41.9146767633333
5,72.3215777
6,8.6269500425
7,20.32431505125
8,21.5573378216667
9,16.14614515275
10,88.8574193525
11,53.69431670875
12,49.17316211
13,102.8273382625
14,110.6846647
15,65.0515519425
16,117.714293875
17,78.1844401125
20,50.07536512
21,61.4333065
22,52.9592832
24,60.85859888
25,61.94693865
26,49.32723108
27,51.8093042
