"date","site","pop"
2020-08-17,"MSD02",295910
2020-08-24,"MSD02",295910
2020-08-31,"MSD02",295910
2020-09-07,"MSD02",295910
2020-09-14,"MSD02",295910
2020-09-21,"MSD02",295910
2020-09-28,"MSD02",295910
2020-10-05,"MSD02",295910
2020-10-12,"MSD02",295910
2020-10-19,"MSD02",295910
2020-10-26,"MSD02",295910
2020-11-02,"MSD02",295910
2020-11-09,"MSD02",295910
2020-11-16,"MSD02",295910
2020-11-23,"MSD02",295910
2020-11-30,"MSD02",295910
2020-12-07,"MSD02",295910
2020-12-14,"MSD02",295910
2020-12-21,"MSD02",295910
2020-12-28,"MSD02",295910
2021-01-04,"MSD02",295910
2021-01-11,"MSD02",295910
2021-01-18,"MSD02",295910
2021-01-25,"MSD02",295910
2021-02-01,"MSD02",295910
2021-02-08,"MSD02",295910
2021-02-15,"MSD02",295910
2021-02-22,"MSD02",295910
