"week","avg_n1"
0,32.41959413
2,22.00228895
3,55.444862705
4,48.74167728
5,85.754778585
6,8.475647436
7,30.909381955
8,32.861042655
9,24.87072527
10,95.68064083
11,151.5234997
12,66.283326185
13,74.06178729
14,134.1512891
15,61.25987533
16,102.6189024
17,134.225320755
20,68.1828032
21,42.07847987
22,52.9592832
24,60.85859888
25,61.94693865
26,49.32723108
27,89.10814348
