"week","avg_n1"
0,25.1192130425
1,54.8804942575
2,11.6571961443333
3,32.6713977966667
4,42.22902785
5,83.3414474866667
6,7.781462271
7,14.0963930166667
8,19.7115824633333
9,13.494164532
10,70.1500430225
11,35.9240578525
12,34.580443145
13,78.65949099
14,76.74686874
15,51.7865711575
16,112.1234602975
17,48.687372825
20,30.96151064
21,103.5352991
22,46.42550765
24,36.28906385
25,40.60314252
26,15.5200232
27,32.33669869
