"time","top","med","bottom","date"
0,0.000292782584751051,0.000152344327635292,1.19060705195337e-05,2020-06-10
0.5,0.000294374900957774,0.000153208818219014,1.20427354802543e-05,2020-06-10
1,0.00029623325734063,0.000154207108843547,1.21809603464648e-05,2020-06-11
1.5,0.000298098520973925,0.000155209641846449,1.23207627189727e-05,2020-06-11
2,0.000299970644403624,0.000156216402398036,1.24621603924493e-05,2020-06-12
2.5,0.000301849578861887,0.000157227375109671,1.26051713574546e-05,2020-06-12
3,0.000303735274255963,0.000158242544029222,1.27498138024811e-05,2020-06-13
3.5,0.000305627679157181,0.000159261892636598,1.28961061160159e-05,2020-06-13
4,0.00030752674079007,0.000160285403839346,1.30440668886221e-05,2020-06-14
4.5,0.000309432405021605,0.000161313059968322,1.31937149150383e-05,2020-06-14
5,0.000311344616350573,0.000162344842773435,1.33450691962977e-05,2020-06-15
5.5,0.000313263317897086,0.000163380733419476,1.34981489418664e-05,2020-06-15
6,0.000315188451392232,0.000164420712482016,1.36529735717996e-05,2020-06-16
6.5,0.000317119957167868,0.000165464759943393,1.3809562718919e-05,2020-06-16
7,0.000319057774146578,0.000166512855188793,1.39679362310078e-05,2020-06-17
7.5,0.000321001839831779,0.000167564977002402,1.41281141730263e-05,2020-06-17
8,0.000322952090297999,0.000168621103563673,1.42901168293464e-05,2020-06-18
8.5,0.000324908460181326,0.000169681212443666,1.44539647060061e-05,2020-06-18
9,0.000326870882670034,0.000170745280601509,1.46196785329835e-05,2020-06-19
9.5,0.00032883928949539,0.000171813284380941,1.4787279266491e-05,2020-06-19
10,0.00033081361092266,0.000172885199506974,1.49567880912887e-05,2020-06-20
10.5,0.000332793775742298,0.000173961001082658,1.51282264230183e-05,2020-06-20
11,0.000334779711261354,0.000175040663585956,1.53016159105573e-05,2020-06-21
11.5,0.000336771343295076,0.000176124160866734,1.54769784383925e-05,2020-06-21
12,0.000338768596158741,0.000177211466143878,1.56543361290147e-05,2020-06-22
12.5,0.000340771392659699,0.000178302552002516,1.58337113453327e-05,2020-06-22
13,0.000342779654089649,0.000179397390391379,1.60151266931086e-05,2020-06-23
13.5,0.000344793300217155,0.000180495952620284,1.61986050234129e-05,2020-06-23
14,0.000346812249280397,0.000181598209357749,1.63841694351003e-05,2020-06-24
14.5,0.000348836417980176,0.000182704130628741,1.65718432773062e-05,2020-06-24
15,0.00035086572147317,0.000183813685812567,1.67616501519632e-05,2020-06-25
15.5,0.000352900073365461,0.0001849268436409,1.69536139163395e-05,2020-06-25
16,0.000354939385706321,0.000186043572195959,1.71477586855966e-05,2020-06-26
16.5,0.00035698356898228,0.000187163838908824,1.73441088353686e-05,2020-06-26
17,0.000359032532111476,0.000188287610557919,1.75426890043626e-05,2020-06-27
17.5,0.000361086182438295,0.000189414853267637,1.77435240969788e-05,2020-06-27
18,0.000363144425728304,0.000190545532507129,1.79466392859527e-05,2020-06-28
18.5,0.000365207166163495,0.000191679613089256,1.81520600150177e-05,2020-06-28
19,0.000367274306337828,0.000192817059169708,1.83598120015887e-05,2020-06-29
19.5,0.000369345747253106,0.000193957834246286,1.85699212394667e-05,2020-06-29
20,0.00037142138831516,0.000195101901158362,1.87824140015644e-05,2020-06-30
20.5,0.000373501127330373,0.000196249222086513,1.89973168426529e-05,2020-06-30
21,0.000375584860502543,0.000197399758552336,1.92146566021294e-05,2020-07-01
21.5,0.000377672482430084,0.000198553471418445,1.9434460406806e-05,2020-07-01
22,0.000379763886103584,0.000199710320888652,1.96567556737196e-05,2020-07-02
22.5,0.000381858962903725,0.000200870266508344,1.98815701129626e-05,2020-07-02
23,0.000383957602599558,0.000202033267165046,2.01089317305349e-05,2020-07-03
23.5,0.00038605969334716,0.000203199281089188,2.03388688312171e-05,2020-07-03
24,0.000388165121688666,0.000204368265855065,2.05714100214639e-05,2020-07-04
24.5,0.000390273772551687,0.000205540178382004,2.08065842123197e-05,2020-07-04
25,0.000392385529249125,0.00020671497493574,2.10444206223543e-05,2020-07-05
25.5,0.000394500273479377,0.000207892611129998,2.12849487806195e-05,2020-07-05
26,0.000396617885326957,0.000209073041928292,2.15281985296274e-05,2020-07-06
26.5,0.000398738243263526,0.000210256221645937,2.17742000283483e-05,2020-07-06
27,0.000400861224149336,0.000211442103952283,2.20229837552308e-05,2020-07-07
27.5,0.000402986703235109,0.000212630641873175,2.22745805112414e-05,2020-07-07
28,0.000405114554164341,0.000213821787793633,2.25290214229254e-05,2020-07-08
28.5,0.000407244648976048,0.000215015493460768,2.2786337945488e-05,2020-07-08
29,0.000409376858107955,0.000216211709986926,2.30465618658965e-05,2020-07-09
