"(Intercept)","avg_n1","sigma"
0.0015509255103685,9.38179861840969e-06,0.000986205275789715
0.00149532990220752,9.26693385849329e-06,0.0008277796219197
0.00132341579496769,9.14996486640028e-06,0.000826025778896709
0.00153505817545674,8.92005187571907e-06,0.000781735262909064
0.00180810023711938,8.76481028854454e-06,0.000780397332668476
0.00184203387143769,8.78297408664473e-06,0.000781399693502747
0.00184203387143769,8.78297408664473e-06,0.000781399693502747
0.00186389769250924,8.80669995238911e-06,0.000781527393684022
0.0011188846482295,8.7398429010948e-06,0.00080742168721968
0.00143240103285711,8.81356399981309e-06,0.000813766754090522
0.00133721712353429,1.23120385746446e-05,0.000858583216063428
0.0016465843381584,7.80004019733988e-06,0.000944252908139272
0.00188860108145699,3.93728775088292e-06,0.000992085113221147
0.00111347224208327,1.29859680313765e-05,0.000758988789560582
0.00128791120293205,1.23464729293151e-05,0.000717886038715011
0.00111107744577883,1.22924173829904e-05,0.000719252026830277
0.00186121342742377,8.31565023787961e-06,0.000832257182454289
0.00175719059476937,9.63815973593051e-06,0.000952216490475193
0.00149792860448337,1.01234841228341e-05,0.000958044488327112
0.00130048884687253,1.21227702810986e-05,0.000935592013574914
0.0011337815225953,1.51332135082931e-05,0.000860926760555591
0.00113922021781907,1.33482764842081e-05,0.000869701651711229
0.000691660620576421,2.33073369632428e-05,0.00101046329855525
0.000592149620800375,2.50312729656146e-05,0.00101013147464794
0.000659535847244348,2.23879684117756e-05,0.000937194673720149
0.000962711043656073,1.98072446525247e-05,0.000962223220261536
0.00113691130915512,1.65820916531308e-05,0.00106483228671396
0.000614869211407175,1.99672822729087e-05,0.00109918432469715
0.00141185841258334,1.22850779204108e-05,0.000854185917943163
0.0016011027094965,1.06624488385937e-05,0.000841836351966497
0.00175852140924153,1.06838253968528e-05,0.000839782896084421
0.00124836751182828,1.07662278384721e-05,0.000831196668308795
0.00107352211819436,1.37312876135574e-05,0.000852896640558105
0.00131930847073542,1.45645663090793e-05,0.000781755214178656
0.0010718637442798,1.44421466880703e-05,0.000793405150759505
0.000984420174978466,1.4241170984922e-05,0.0007799714568549
0.0014609487704673,1.44395044166534e-05,0.00077398674376043
0.000712857742807341,1.52041087693173e-05,0.00103971858360482
0.000915579424863184,1.70505839695492e-05,0.00103989987564189
0.00128469607011742,1.30682127438734e-05,0.00108312160984516
0.00131013973358508,1.33889661655374e-05,0.00111047082513782
0.00130490090257191,1.01694393184703e-05,0.000976614070846283
0.00159554532244529,1.0220479171051e-05,0.000985040380504217
0.00172559493003221,8.1172664653728e-06,0.000908085836812591
0.00166304458151471,8.24498603950984e-06,0.000910792083701932
0.00188754329183639,8.1779273963312e-06,0.000912474493966083
0.00163152029284238,8.18686265105033e-06,0.000915848132368749
0.000999634060947733,1.52953873766669e-05,0.000824150386135502
0.00143409899986664,7.53671821085128e-06,0.000910081075747016
0.00151754936254289,4.26041199970982e-06,0.0011356055781436
0.00135296422156007,4.74848647985735e-06,0.00113864908014323
0.00141609933811845,4.25621627248001e-06,0.00114113358155898
0.00200917247310082,4.40806580553501e-06,0.00117029740434727
0.00185537997550655,7.61966591556687e-06,0.000901489141144621
0.00147180687106135,8.30766999126745e-06,0.000889777775800514
0.00164071746259554,8.83175635354122e-06,0.000900011671496625
0.00137278605357516,6.022387773436e-06,0.00119360215915437
0.00142700271128004,5.69030746175491e-06,0.00121349419320096
0.00140746518947549,5.71265181375384e-06,0.00120852896669298
0.00161136966837935,9.77157600648651e-06,0.000713030230497239
0.00120698975315506,1.13111878761998e-05,0.00113843604506006
0.00170949569885579,9.75694464805367e-06,0.000931830546252452
0.00137177329822828,6.98172617090808e-06,0.0011325042364289
0.00117971541823844,1.10102209242052e-05,0.00111754584943605
0.00133076784089968,1.50084962089629e-05,0.00114609457045036
0.00117367463232486,1.37323869258781e-05,0.000893497847482606
0.00158155850039923,1.35908141245637e-05,0.000886891319850684
0.00101420744654556,1.41324322109773e-05,0.000886948466316147
0.00105683322871129,1.77385160212853e-05,0.00103418706457137
0.00110510801546656,1.95364465146413e-05,0.00109293298997387
0.00142076221740229,1.54628784102339e-05,0.00101107326320865
0.0013347863735727,1.53677445093072e-05,0.00100785777701121
0.00126399373168137,1.39532686483941e-05,0.00101650641961636
0.000917858623507752,1.78523065065989e-05,0.000907274644733032
0.00140827999611327,1.09296612501935e-05,0.000950788482130231
0.00117153255329326,1.33369404271274e-05,0.000793272262929855
0.00137753989473205,1.1059423890365e-05,0.000772487423335426
0.00147391879208365,9.98457876159252e-06,0.00073281520660517
0.00118543360981706,9.05677215156023e-06,0.000784916713782964
0.00149397527725743,9.03979300233151e-06,0.000781181481016471
0.00190649441332671,7.01539863449691e-06,0.00074525516831857
0.000794359105515322,1.85803871487321e-05,0.00110387527431554
0.00144381604353317,9.58730418268228e-06,0.000711697775398082
0.00120367007057235,1.4519335089348e-05,0.000842492974155579
0.00105617948634172,1.55713930304367e-05,0.000828429352495594
0.00114428155711742,1.60382860645212e-05,0.000819641778920166
