"beta","gamma","delta","rho","eps","psi","lp"
0.506568905024294,0.460669183440353,0.100329286546872,3.8308954475904e-05,0.000261144742794922,0.0251153069832677,-274.517474225981
0.514427129370373,0.475089812822764,0.1077211043612,8.67676319537877e-05,0.00221386886753393,0.0218500433027999,-270.200412418479
0.492788415010328,0.460668488071856,0.0801299843112806,0.000227272014890178,0.00257432037305302,0.0204186357734688,-271.632505194612
0.327536383753587,0.296634898306155,0.122697765319745,0.000150624188093834,0.00129850010778002,0.0226184442017721,-274.004345537794
0.487644731229569,0.451800781393793,0.0642279919954125,6.97638070310008e-05,0.00188830924741863,0.0204737999333963,-273.337183541711
0.450181783083033,0.4135061408437,0.0771634821077117,0.000169595259176554,0.00205759313707716,0.0204515596409186,-271.901171327572
0.516918346873107,0.477202173268858,0.122501808927945,0.000138860889764555,0.00114336058853305,0.0243774472600975,-271.738320568754
0.489180508714641,0.451367085663926,0.0904425657364,0.000219130674025371,0.00128352088769746,0.0226211499044148,-272.189725254606
0.648473544590005,0.605567156594989,0.0974718975624186,0.000133567478929859,0.00292435423498851,0.0250129383946412,-273.483088780005
0.503812865707896,0.474040361301641,0.102201253819217,0.000133999059048336,0.00183590677032607,0.0219406229200143,-270.452858548082
0.426460135272549,0.385063185179692,0.105167685012798,5.24782646390786e-05,0.00325909961398543,0.0211427538369274,-272.254953840651
0.606183087422038,0.559400193873326,0.146388886936249,2.56434996864646e-05,0.0021986210109531,0.0190205651234945,-273.963329290776
0.505017675139012,0.462682011903,0.111499598303161,5.77934945037489e-05,0.00154010117417488,0.0211304701043441,-270.702736667283
0.539997576509073,0.492157408559149,0.0706090385276195,6.69437059280554e-05,0.00338508646405963,0.0266314664559183,-275.65357977729
0.598777784627084,0.55746090815545,0.0855942283562589,2.16142071046352e-05,0.000599947765687604,0.0232426705685847,-276.210724169526
0.517126500509121,0.480591920543676,0.107336461678669,8.56012891349369e-05,0.00663318595995892,0.0204590172717315,-272.502592726773
0.462660352786826,0.434330878096841,0.112292368777234,0.000120411830380131,0.00033466483852441,0.0188936017461105,-273.315878067399
0.61852715523292,0.569121239150992,0.092281134433386,6.14895255162841e-05,0.00233678354842029,0.0205787045061208,-272.93097995363
0.505632551451433,0.475850862937987,0.076705703840433,0.000303163829628584,0.000192291327307774,0.0203082690839528,-275.055075173678
0.450364797289088,0.418655716016733,0.145117053668099,0.000172232465413145,0.000204760953358309,0.0207782751733791,-273.799578534197
0.456703494974847,0.422224386369616,0.112177348297729,7.79590343485982e-05,0.00133168548051409,0.019597590951636,-270.520110234078
0.376746972873854,0.342278222409327,0.129257489206536,4.60121948744867e-05,0.00135995816039156,0.0199574829116449,-273.877470830847
0.479603469522024,0.44409752831211,0.130038804344534,7.81304063025995e-05,0.00278493191673855,0.020698523464142,-270.636414174598
0.467082391232158,0.441402098167689,0.0864655847995428,0.000160407569994547,0.00113071433448479,0.0202142864113095,-272.198107686605
0.372592070822128,0.335519842087501,0.100623734683905,3.46624144536037e-05,0.000537779001447063,0.0196974940977294,-275.077399268457
0.53886116900823,0.497795403134288,0.0965864318476474,4.63033445714857e-05,0.00228532635525405,0.0275695376679271,-274.375204359848
0.449080309079244,0.429628473109548,0.127315366879032,0.000237577459020976,0.00566390167600801,0.0241857312291473,-277.41204972058
0.520390507850647,0.484330175203039,0.0847959471297665,0.000132871037779914,0.000447376786216551,0.0242741462745934,-272.259122895302
0.496018495124231,0.465979222105263,0.104929524372414,0.000286164314993375,0.000740462368275481,0.0208371488717751,-271.572707359353
0.437324393586336,0.405460227799523,0.127095745789138,0.000260213770175356,0.00104675972828061,0.0242646333469435,-273.152829799587
0.526696933989212,0.492905310226774,0.119212988161317,0.000134462847458132,0.00386528312814588,0.0211075210885758,-271.520338790046
0.456217381173004,0.422039666575953,0.13011368978903,0.000110021645418901,0.000801343000494705,0.022350224136831,-271.335692635522
0.565805604863019,0.524286108189096,0.121106212749474,5.00598022573671e-05,0.00257468497611551,0.0191304832965883,-271.269813251951
0.585625351591411,0.551107130275931,0.138771425117722,0.000101001684940211,0.000291505832099632,0.0204648770294537,-273.741145354083
0.387790427555505,0.363993542944845,0.131049400800828,0.000289965133707313,0.00214563364408536,0.021542607823182,-273.066555082644
0.52008634378415,0.479146446671728,0.0888426816151962,0.000162598347680816,0.00246283577583296,0.0208151067634218,-271.933409618829
0.415369395372175,0.379037899720049,0.0856204971514353,4.86517144833001e-05,0.00127819727616398,0.0229320046190457,-272.287662693009
0.54682950098131,0.512068610527275,0.167034928233834,0.000103804777559084,0.000290293055460784,0.0237251313718946,-275.37671195493
0.463009306662119,0.436553674136249,0.12308781972607,0.000239045683202966,0.000581766756330846,0.0214219600739209,-271.996706822818
0.432063238557285,0.399425756354137,0.111700857941404,8.55053378300761e-05,0.00196654181291832,0.0209685673584068,-272.292465268167
0.578253865115508,0.533110054490854,0.0924966095586068,4.74131879916518e-05,0.00156948511721407,0.0241683793452123,-271.964364899172
0.4753285320847,0.438124301224891,0.0700514198425397,6.79638531188893e-05,0.000649904967402469,0.0178301123440676,-274.460478525687
0.478242485659815,0.454028386927066,0.140772591983234,0.000130201919799573,0.000999430157933941,0.0195385934652954,-274.397631307436
0.534776515180391,0.500740871298614,0.106230480179039,0.000105171602018239,0.000219383701902437,0.0248952159903546,-274.020449841705
0.501607929418091,0.46561248812448,0.0990684478283055,0.00014789205626324,0.000394695000460468,0.0248326741426361,-272.186428979945
0.545615702777714,0.504847640333119,0.0900097755343254,7.14548430561148e-05,0.00336292174701916,0.0219386783755207,-270.479818801701
0.571734301405953,0.536739320056209,0.101048498660497,0.000168181558773293,0.00264290321548558,0.0202069924427115,-270.967807562459
0.428163686619708,0.39411648032264,0.113725981146639,4.89362232202913e-05,0.00358175832988777,0.0206986438135642,-272.46475905279
0.457118021216066,0.416052273270021,0.127085289540951,7.20574601522032e-05,0.00425677399461046,0.0220572588042553,-271.585535828787
0.468276790401984,0.42541659024821,0.103787126914687,9.06692185062117e-05,0.0025532575273921,0.022172777514146,-271.878804880471
0.40497154251709,0.370217211969897,0.107003903135891,8.7098398310168e-05,0.00383007016342432,0.0238874135022135,-271.815928513132
0.460418472849865,0.419799302185891,0.090149148838133,4.96659917075529e-05,0.00047292330369357,0.0226734272271501,-272.598556424919
0.507236602781589,0.468592726296204,0.129351913123858,7.01094349869288e-05,0.00105649727853004,0.0215457418783248,-270.332274453901
0.40667491282443,0.36676797846296,0.116376382185884,2.58937948126426e-05,0.00139639576162725,0.0229633839647997,-275.291962633828
0.500323735088695,0.471017942301239,0.089464144807289,9.49182002141516e-05,0.00176143994009909,0.0205805174330827,-272.145924568309
0.520771160603442,0.488961279066967,0.10862708413159,0.000133937488236115,0.00167377278612909,0.0205856194780908,-269.988357049933
0.351253994170074,0.322829653032383,0.103507415620164,0.000190197751747282,0.000399369013769365,0.0188672744174032,-274.92920921928
0.393432240712126,0.354815975672587,0.102083271931437,3.93045200747225e-05,0.00226550312150311,0.0225517047180869,-272.47145701856
0.496718655559125,0.47372741123432,0.110553591198151,0.000208836282341479,0.000715791441631276,0.021208487262538,-272.876287294169
0.665734240999827,0.621329484673566,0.0853346296503635,4.10566457345009e-05,0.00463485248304473,0.0207516075502123,-273.688365606969
0.638677981538186,0.599370322627788,0.100183319765069,6.96428247673255e-05,0.0024885551284668,0.0212847823582072,-271.576323863428
0.437580947162164,0.42065307336546,0.148798553472878,0.000231871964074849,0.000950525028416445,0.0225017686426285,-277.191767059998
0.46305810462428,0.434899187594132,0.0818250600021861,0.000189545954498174,0.000876736505137928,0.0202427377568831,-271.517428272633
0.601950109364153,0.561098724037862,0.0992737334136417,4.50429566639812e-05,0.00102512817595797,0.0232454640493361,-272.561617925641
0.429212590042909,0.399208723058235,0.0998790959784793,0.000187101400136022,0.00136256804747279,0.0197722506578072,-270.584852472478
0.442345241768842,0.40370725234782,0.0864603720796191,0.000131820193645013,0.000754852152223767,0.0212915086893405,-272.146781080691
0.403951447203781,0.381677786700034,0.0784697097954025,0.000293524936092389,0.00118119759779841,0.0216622128371522,-273.954874316268
0.597959210518006,0.547629001609889,0.133620017431694,2.01086600975462e-05,0.000907416377660836,0.0192745630074072,-274.423667731438
0.428206791975372,0.402789536380308,0.0728690757327962,0.000467802693391449,0.00216987827003469,0.0219313680252697,-275.371247640891
0.50141478842734,0.460414266093732,0.13536237026188,7.95370381159362e-05,0.000551678550044074,0.0235057750208728,-272.833541121173
0.469597683205916,0.436882122463839,0.120925037197875,0.000103735480752555,0.000368567588777102,0.0185949411104126,-272.400866573336
0.576498266598794,0.537893899180181,0.0970714903381089,7.59176910470847e-05,0.00214037861812847,0.0189957322594794,-270.754982335466
0.579670592729157,0.545014649683832,0.0879647978654638,0.000134369924534156,0.00167546170776031,0.0197195764478385,-271.063889261388
0.613336891695022,0.558108342839332,0.0801505953769822,1.53577752589821e-05,0.00524914422255929,0.0211865366186552,-275.636178077539
0.484018027887158,0.446003226374573,0.0957147607818086,0.000112885235838761,0.00233503317105394,0.0221187862930252,-269.699292685056
0.529028720704423,0.503162152012513,0.105686513948809,0.000204773815154327,0.000781198414588772,0.0226220070076472,-273.508078799667
0.512009629266711,0.469787417195681,0.0874333813578388,0.000121214017123402,0.0022409377100699,0.0222783638725448,-271.650524231933
0.428155714068917,0.394916700654875,0.105758628084001,8.76042730139956e-05,0.00358287561223771,0.0200747709990598,-270.934707479314
0.457069958106431,0.421348372781972,0.0782837938514553,0.000124036486752023,0.00104690943355335,0.0204843989827427,-270.953052042068
0.544397234970732,0.505967059952492,0.106833336549541,0.000100349065838933,0.00210226047895516,0.0199390213879133,-270.338887565221
0.484265160440001,0.456134406910987,0.101340010870638,0.000112872361345595,0.00313618497489046,0.0207523906789152,-272.465923152464
0.490770192305408,0.463164723522749,0.172115270516442,0.00015969367770131,0.0015921428299422,0.02577336973835,-278.202680516377
0.451499544427901,0.413863639863052,0.098804465441568,5.50531626382639e-05,0.00137888636387328,0.0235085850596531,-270.90928495427
0.432326584151243,0.390009382326784,0.111634955563835,3.78558712554327e-05,0.00698739508729009,0.0184397248291143,-275.189626007031
0.637484581718775,0.602614408534607,0.115946463069851,7.48545627809791e-05,0.0025023899483227,0.0213824692481438,-272.729976056201
0.556783934143657,0.52352411086746,0.11016318545738,0.000204936773141131,0.000365953009320299,0.0198129991913675,-272.486494165556
0.436887133372225,0.406923122131383,0.100196693761826,0.000183383143244137,0.00182211022528862,0.0211442708570986,-270.64413239525
0.543731780646531,0.506251549674573,0.125652556764784,0.00012334844136522,0.00248444271562467,0.017128499076524,-273.104259589787
0.516353818770707,0.475091313804695,0.103086689972576,6.57040976288122e-05,0.0018541635548635,0.0216994187313751,-269.795962960867
0.644915776058748,0.597195347442601,0.120892014811873,2.49566509023088e-05,0.00217323880678707,0.019031696013513,-273.292120550182
0.535266534259417,0.489366833608775,0.12987416386407,3.2108170830621e-05,0.00518067978558955,0.0229532911000959,-272.935541521523
0.512852983525048,0.471408396940536,0.0925725869343355,4.43660281062531e-05,0.000668159249633445,0.0197789498896781,-271.541157519464
0.639280822257175,0.602423324707474,0.136536880020936,0.00010856018652403,0.00063591900172704,0.0248898476441335,-275.081634888984
0.383689238214883,0.346161881427862,0.103054570975194,2.68252967465728e-05,0.00161486117863089,0.0231827858580279,-274.92241031896
0.619145643903952,0.584491125356235,0.0845402533335517,0.000115554396511893,0.00284804284193561,0.018731490180904,-272.676778384318
0.384682917308004,0.350613652613336,0.118427797911769,0.000141479274262273,0.00441147007588249,0.0228960941167722,-272.472535770078
0.486099390592234,0.447309322627924,0.102695967696331,4.91085831610811e-05,0.00382795453757727,0.0212824749810028,-271.663149189203
0.42875911009606,0.392370591632561,0.112194648014817,0.000202934965314934,0.00601789600189411,0.0206311438730513,-274.596289637876
0.445384395500522,0.415465454032275,0.1148379793725,0.000143642489706936,0.00236049464514549,0.0235863211758986,-271.438420722021
0.470616985250387,0.436611300562371,0.127318807444962,4.82378576860079e-05,0.000160318795112767,0.0198706118404249,-274.776277899343
0.467763691884585,0.430608424845921,0.123957385403927,0.000110402852924711,0.000434639997777456,0.0227066519847893,-272.008419319503
0.43980865559997,0.413847771209857,0.100739724141998,7.53749608207816e-05,0.00410462127860892,0.0226048207802679,-275.914077944019
0.505871072023995,0.464174798924701,0.101670659913175,6.67990403216707e-05,0.001102746290958,0.0216815140518008,-270.323154358476
0.478031888313855,0.447387337646467,0.097316999724716,0.000156143579462257,0.00303186635777025,0.0213751145792979,-270.546572570022
0.418973176579255,0.391192193101166,0.125919559773376,0.000271007376248957,0.000959623713797853,0.0244336343251403,-272.921311576088
0.469011722822262,0.42833154920008,0.106910516276852,4.12295332803573e-05,0.0024657105036938,0.0241007493312786,-272.310092581011
0.452476032209594,0.42262757321255,0.127910309234779,9.39249247051443e-05,0.00099031734287202,0.0199742599995199,-272.432443883004
0.507492890163755,0.476631556403995,0.0972501308508189,0.000275069402602623,0.0019825448472017,0.023385009212114,-272.178029541408
0.430978850276262,0.395429081841261,0.0952285070144998,7.18578125410869e-05,0.00401613921995626,0.0214949956838859,-271.261016526624
0.502222717637198,0.474287935518384,0.096194488651659,0.000100115494403349,0.00460855160400626,0.0185960264472989,-274.187465025718
0.533891918107433,0.506634899887046,0.0856703710622379,0.000236018709611613,0.00200688872703641,0.0209384363804097,-272.228821425594
0.611313846205323,0.567621458690918,0.114503363319551,0.000107379304144234,0.0018460996172348,0.0229661394408102,-271.336021330175
0.479709386642317,0.436478928275915,0.0721571716673474,2.8465361452528e-05,0.00251060486890454,0.023303039417455,-273.275854735865
0.46895551554635,0.435418879057277,0.0760753349023167,0.000125450774964579,0.00102782795982134,0.0172292157354106,-273.412364753715
0.555595999992084,0.513793927587835,0.111441954760637,6.05548548191257e-05,0.000924961528760398,0.0233072766343891,-270.787438038262
0.484847625225194,0.446552685899943,0.082193667225337,5.28529786234248e-05,0.000981125170559876,0.0221876913844171,-271.527936891279
0.541965976341719,0.494633256736809,0.0506513758865164,1.99588260869207e-05,0.00240470921446009,0.0220275040267549,-277.481736737725
0.454426628627755,0.430577424821595,0.117374331431156,0.000196651951876227,0.00147442559566042,0.0230347174211771,-272.562108337532
0.706073406612159,0.655802317824816,0.103031650690931,3.50989133309529e-05,0.00237844738384751,0.0202206887826796,-273.53059718388
0.49000444068932,0.457194542031956,0.109885734071963,0.000198504698147786,0.000746221468868676,0.0211450723845875,-271.376013334904
0.628103369854958,0.581579709851919,0.0963134910051746,2.76400930746936e-05,0.00044554034642425,0.0209896310445037,-273.068702256531
0.487233826435567,0.456731808538762,0.107893996920714,0.000109839971078201,0.00273980036113901,0.0225483217047002,-271.13778888137
0.549905930269493,0.509643285078807,0.109027396617751,5.68522808693782e-05,0.00280168612985147,0.0216984665670664,-270.017951197126
0.56772167647882,0.532483139523427,0.0831545791119612,0.000134045150380009,0.00131918738515283,0.0246558764099913,-272.566415203899
0.517871621794439,0.474640784094498,0.0975419107975706,3.93366311942841e-05,0.00162459250447869,0.0224681153143314,-270.422151948154
0.439789243573952,0.406445025612068,0.0957837647798352,6.95338331506902e-05,0.00313674944074255,0.0225653779143239,-271.44451746291
0.485789258137161,0.454410212107825,0.0896378373799219,0.000204543353040513,0.000415234445871701,0.0203857451468792,-271.839057504623
0.484770588049473,0.439295854512638,0.0872178588113199,3.46096045512325e-05,0.00189737158202645,0.0233636789926903,-273.299995840098
0.540533782020105,0.505325200932867,0.084566676811566,0.000143875759390487,0.00203041259369623,0.0200182389273409,-271.999448099976
0.530105950025268,0.489216237979828,0.100908679177918,6.97476986907143e-05,0.00254432831568474,0.0223066655416091,-269.74009447181
0.508507575635685,0.467369556274642,0.109419568726752,5.44753393229914e-05,0.00277112012283993,0.0190406006358428,-270.955477957859
0.444085036136291,0.414002426599431,0.100393112068943,0.000108545853644907,0.00113586908858167,0.0200246241605471,-272.233742937211
0.491730403468865,0.44518413190366,0.114423729295146,3.24483469009396e-05,0.00417371062739927,0.0260957046056843,-273.868609542139
0.52926244028573,0.48714886888645,0.114990647952773,3.38326395581258e-05,0.00131618502155838,0.0186273932273054,-272.222141089397
0.43984639768708,0.402496724416959,0.087439679017125,0.000107859889925566,0.00474162664917583,0.0247364450353762,-272.725915275622
0.621123914408798,0.580219573195336,0.109707861308287,6.3583932487665e-05,0.0049671443676739,0.0191625620658686,-272.747699940832
0.451641397091162,0.428276171648818,0.106431020465624,0.000425541972517809,0.00287859611850005,0.0199255525745712,-274.54789492375
0.421459894461967,0.396944575102983,0.111222565337026,0.00015770802828775,0.00174648363310707,0.0233458975772673,-272.992298875783
0.538795938292857,0.497016913150482,0.116615145056084,7.34377651724483e-05,0.00127621950449041,0.0226682728206989,-271.069167650009
0.407401113319423,0.373810821757138,0.102183197198542,9.14494755280841e-05,0.000796116921450285,0.0212449599503377,-271.595812532068
0.464074755912456,0.416567860550871,0.130809479161351,1.58620356240985e-05,0.00143773675006664,0.0195276857146518,-275.773896116201
0.495334606823119,0.461796062174846,0.130056687426217,0.000121572900797033,0.000551479275960198,0.0205177965071004,-271.054069860491
0.631227299352323,0.588252355227493,0.0719952872442267,5.86899098534531e-05,0.00102015300978714,0.0214090195753764,-275.58342287045
0.540831565297103,0.512760884223916,0.0880982195066947,0.000302407830407521,0.000538682244279769,0.0234160640854775,-273.199680308795
0.591511223346664,0.551090690687971,0.0950978080108073,4.11147045470374e-05,0.00159023687970183,0.0234342527976002,-272.034277216553
0.489872376581542,0.451914459792691,0.109764940025595,9.03149727800714e-05,0.00722587413214706,0.0224099413728053,-272.278638484015
0.460118894228864,0.425623492733932,0.131694957141675,9.22554669067214e-05,0.00173642321853923,0.0215671852436325,-272.427524847133
0.608370808921964,0.578214414849245,0.0873171326032339,0.000204450242577269,0.00149676274936161,0.0221798336254936,-273.062540439316
0.589220166025128,0.54844656215866,0.119999474111306,6.92043758187319e-05,0.00414828105640867,0.0202162285905573,-271.158871575279
0.472442565950024,0.441274196657311,0.0963320034252459,0.000126699962847108,0.000991577991671677,0.0177335030925056,-272.637858533543
0.373724827285776,0.347426966203111,0.11441469079979,0.000237878394528145,0.003513624314142,0.0230168114544647,-274.062302262293
0.615569384127395,0.581083625558505,0.097216313011806,0.000173241381923345,0.001945423934789,0.0186371667351984,-272.271683274451
0.547891527849451,0.514484428172271,0.086335720311921,0.000111147631538488,0.00111927553793954,0.0199018225312212,-270.828306091537
0.498527406912182,0.457903839827945,0.126923491303657,3.80404242589965e-05,0.000610451586877627,0.0190858686585986,-272.657821974371
0.497531546360587,0.452387336901419,0.0822623018685538,2.3635416840653e-05,0.00227737190505895,0.0222504908197126,-273.412795563358
0.438999752899688,0.407825030441297,0.0689042388635403,0.000106706007771033,0.000556983588808374,0.0199869816898808,-273.511879631751
0.427587713354174,0.391818089629514,0.0806536950034587,7.93278670403125e-05,0.000472815838582801,0.0264637617908769,-274.807377608786
0.391249518686316,0.365390864316484,0.117784262010808,0.000155152887924365,0.00110047017601602,0.0203851417838587,-273.068833094182
0.507938035523598,0.472035952939136,0.115382568875701,0.000121888664926579,0.000341075381823267,0.0209350479268088,-271.173922114394
0.506478223773706,0.460098210905789,0.108106744247937,0.000101282761243871,0.00148269336323777,0.0249934077179062,-275.04845928626
0.475641467576282,0.436774712448651,0.0754883165192027,0.000106325104989644,0.00207451143095966,0.0230668659747464,-271.090830972956
0.50701643035345,0.4653549879724,0.128357908475999,5.07763269304675e-05,0.00158986633053685,0.0192099008279305,-273.96870172971
0.586696031268593,0.552604748265384,0.097087359501477,4.61235692887448e-05,0.00194202327874161,0.0217760878437691,-274.324229174868
0.539437759494062,0.496828109602359,0.0848154074219887,3.96196570697992e-05,0.00461713311769524,0.0205380973893549,-272.863803015947
0.52449936689227,0.480858382215711,0.0779413646291202,3.89478595403934e-05,0.00395565489734691,0.0257043575253406,-273.739311186224
0.426281796804608,0.395702701261917,0.0880521913333691,0.000148446266589757,0.00193372933277651,0.02112421858809,-270.456344082701
0.401517035766087,0.383537827290955,0.119929642180397,0.000765197136432833,0.000311002245501856,0.0229535416172222,-279.903018907483
0.56844397768328,0.525372032247841,0.0982500588888719,4.57163772315916e-05,0.00231121648274642,0.0205627143677076,-270.642611909071
0.617981858216995,0.587805786799687,0.101215789204224,0.000226747960388833,0.00242397353775327,0.0237333371734987,-273.838078010472
0.422649576472373,0.387482679144708,0.131607365469085,2.93696472622988e-05,0.00138514349652954,0.0196554571497688,-274.258406123402
0.448852613366085,0.413587020289388,0.107995726674276,0.000130885060924796,0.00178885590246042,0.0218439897191888,-271.165175591174
0.537322236269525,0.495655817948753,0.0771074674954005,7.1696858868529e-05,0.00182233762217424,0.0228147736977237,-270.795080600753
0.449596788732447,0.416226738560792,0.0968627309198511,0.000130994570159007,0.0011093975801806,0.0208316137796057,-269.901023503135
0.459897327146891,0.42678128817152,0.0956979193080752,6.18903191179627e-05,0.000439955942579882,0.0186173749262693,-273.067967196092
0.530675068057122,0.487342734072811,0.113025865368735,3.10319777420604e-05,0.000644428781901067,0.0223451881377907,-272.414128415341
0.496750731594854,0.465219262680069,0.0936241361836704,0.000127084312655962,0.000945642330283299,0.0201384419241875,-270.441525583844
0.546711636033422,0.498205009357814,0.0899791171645619,3.4262246103641e-05,0.00198950836877118,0.0225606869949399,-271.935989309333
0.468090817581073,0.438760838508858,0.102762964239719,0.000211644106281018,0.0016424328623982,0.017988160783133,-271.933877534238
0.540297018837893,0.505215988865518,0.112990406802167,0.000203034094857518,0.00130479041144545,0.0250301413805416,-272.343464104668
0.450394282699619,0.429086833149393,0.108392467070989,0.000402015068358111,0.000720872299287229,0.0210845219448393,-273.609992270831
0.437424345056107,0.408994739109492,0.112196184895918,0.00017455717803762,0.00288175585452512,0.020623759151854,-270.871145429449
0.467317434197991,0.428856090882369,0.0812696445211799,6.74245893936205e-05,0.000485112163913544,0.0215001963201676,-271.628569838057
0.641364587330069,0.599362097928496,0.100652065433777,5.27604446721733e-05,0.00102653339636902,0.0207455333955844,-271.799189691402
0.522341792230033,0.498432123456566,0.107107395646418,0.000393006327326014,0.00243156434256782,0.0265531969342162,-275.921207334382
0.451124138241121,0.422577997675629,0.0752082141786228,0.000270407333402583,0.00200174246784067,0.0198937349644523,-272.126056466101
0.415320594660153,0.376640612955368,0.105852444991825,3.52315474547893e-05,0.000593139718691694,0.0212486231353031,-275.633118135802
0.423900422504676,0.391145202033762,0.132158210065261,0.000152407802452904,0.00507732876459706,0.0196293267675932,-272.75267324604
0.613930529603107,0.58268633835201,0.107194028114093,9.37392176814146e-05,0.00349747620437122,0.0198379828781543,-273.514786718349
