"beta","gamma","delta","rho","eps","psi","lp"
0.463809769176887,0.429637624297535,0.160089946985726,3.07973823160908e-05,0.0019849325914162,0.021510325579451,-138.93709584638
0.456516295522466,0.416700586095678,0.0817758648125587,2.70569122854311e-05,0.00111513618215933,0.020374626225766,-135.525797527198
0.44871843365703,0.419571209116287,0.106184998418244,0.000195070494891846,0.00318817687406136,0.0234456307854178,-136.359815429204
0.471552027188567,0.440086626716444,0.14984299107586,7.50301647657427e-05,0.00265986825330184,0.0217993705362822,-136.64416480021
0.519837961019068,0.469297792319132,0.0655082485416137,2.1442779927286e-05,0.00455764002491854,0.0208515799523972,-138.607328181167
0.46554871384179,0.418550640711514,0.128365239780544,2.46381700803459e-05,0.00119961204117703,0.0195315518340944,-139.575923675233
0.493872788654738,0.454992858001111,0.104903851770507,5.35166940204237e-05,0.00368879334392402,0.0188263826572656,-135.176841699157
0.585428248682862,0.543093319145545,0.0922986137183698,2.34536997278965e-05,0.00210058106180165,0.022894723221709,-137.952021781999
0.509695949345515,0.477550075032222,0.106791272560343,5.97149925895896e-05,0.000568645871721062,0.0176328561921883,-137.020552737855
0.524135036386673,0.484303062616831,0.104787809473311,1.72727502161272e-05,0.000864409909434912,0.0197892378232962,-136.76624251739
0.512139259037451,0.478217588452353,0.111762585591101,6.03811432173269e-05,0.00162235042371992,0.0229547069185407,-137.516221937488
0.481073344563055,0.451351996239937,0.103527993252381,9.66237973228684e-05,0.00132896888056702,0.0177612631352276,-136.376075439145
0.52929719709884,0.483027652770501,0.0775010617581074,3.97481701408803e-05,0.00348982235805562,0.0227066616463273,-136.414624743197
0.494534108696779,0.461935333587448,0.128229611218682,9.084012530101e-05,0.000332297971739361,0.0238925372392119,-137.67391201956
0.469012659103124,0.437602475021176,0.116545623102302,0.000192993854171779,0.00161728636087857,0.0211591670210738,-136.515025157778
0.535371909894213,0.503532175921013,0.121827752291103,4.58843225170514e-05,0.00177636388590501,0.0214846269858792,-136.924514348687
0.496071548646359,0.45587809963438,0.0970418433418581,6.61234779949145e-05,0.00247871180809801,0.0188706938540935,-135.698738217719
0.588214080781411,0.545077184285464,0.114716057532702,3.78904247116505e-05,0.00207996210320955,0.0197185058433582,-135.720076100816
0.478165480147075,0.434266092424988,0.118334303377155,1.04237615865852e-05,0.00119192632404221,0.0211033416138509,-137.108761825404
0.602622575188228,0.553088294363948,0.100604820095348,3.81081209118186e-05,0.000703237899258707,0.0219851897373124,-137.015863993658
