"beta","gamma","delta","rho","eps","psi","lp"
0.59996949894269,0.555757962061917,0.122032606481185,2.93633299495199e-05,0.000473137828701514,0.0210119622603879,-741.314235458429
0.612534004592251,0.571730475884885,0.132173499055679,3.73293963201274e-05,0.000904813445541363,0.0165304216997569,-743.623506649453
0.510901603713468,0.472474083217642,0.094060306305869,3.26960713753783e-05,0.000639781206936705,0.0197883987362861,-740.361611826571
0.37191773146409,0.340344949021269,0.0980395410190055,9.72407965923676e-05,0.00248533637602166,0.0221819844387107,-741.671487610493
0.501050543851989,0.464098772054328,0.130946920642915,6.44593718158083e-05,0.00110346029975975,0.0238177419535681,-741.411696406897
0.580797665112961,0.530491831675554,0.111825855392539,1.24688513146424e-05,0.0012297224373309,0.0242659543249033,-742.885102693697
0.56861956222083,0.521240249502615,0.100065549082752,2.56399930778772e-05,0.0016787665197682,0.0225075621999869,-741.359385953757
0.533308933646008,0.492394396810122,0.0756814402417307,3.35926231128577e-05,0.00112745339451416,0.0190909080558373,-740.571206465814
0.485377920276206,0.447642726068027,0.0949694431928478,3.72463402831711e-05,0.00193151998982033,0.018618308313611,-740.021081381685
0.450756843723129,0.40912354623024,0.117079050996084,2.09867832033476e-05,0.00248482676334833,0.0193855490826004,-742.106114392208
0.608132123079546,0.572734406559611,0.0979332361457203,6.79162913552171e-05,0.000672065713504033,0.0214783469443004,-743.198104633334
0.424890576167363,0.388136862156988,0.0557671296700704,7.01986626708748e-05,0.000220582733234868,0.021373208260455,-745.560927656193
0.563393758810659,0.521403822256986,0.0870837071277572,2.50090962762993e-05,0.000186915281680806,0.0205190454335109,-742.471219044425
0.483936531874006,0.440368394883786,0.0830748590890999,2.11418796186052e-05,0.00195365542838541,0.0206492350319105,-742.276867963214
0.513188622965262,0.465254586216646,0.0932887512776457,1.15652055728076e-05,0.00110770683194514,0.0212838175055971,-744.981354444347
0.488369730690809,0.447174553710195,0.126163894711735,3.98030236061978e-05,0.00067105171861796,0.0223691892478516,-741.1654635459
0.392891643532793,0.360037298842703,0.10058475696747,5.75289470001906e-05,0.00245627706062037,0.0201101360067074,-742.341521292516
0.439076599877897,0.405683756639345,0.121911349620189,0.000109467491648258,0.000375850323552684,0.0217270206711462,-742.329881885553
0.443471305242723,0.406848734069116,0.0915692618194006,5.9317406786185e-05,0.000531280517879459,0.020707802611604,-740.518791257794
0.528710721075223,0.487030872091999,0.15224141031863,4.13476370496084e-05,0.000297141142719893,0.0218282342034396,-743.434229301377
0.400575983547083,0.369782145556532,0.102784699700434,0.000105029119761048,0.00018627554233244,0.0200871116364798,-742.547568177691
0.497551573234459,0.455407638447559,0.115944962975915,2.54366817203744e-05,0.00268020492632253,0.0198935129670133,-744.148144380071
0.37382439076051,0.342766072907478,0.0606267451512361,0.000109890528770762,0.00178369742246246,0.0232583149874403,-746.709588628075
0.486987787036427,0.444220985243144,0.087665113165745,2.0184247651285e-05,0.000889367592924861,0.0207170910470886,-741.460980320655
0.524458536303035,0.490763437002341,0.136462399103153,0.000101847244641029,0.00172895143601939,0.0201184751377371,-743.590309138202
0.484928042793036,0.451777337256595,0.144672827140338,5.94045395650669e-05,0.00310866686337207,0.0206222096298001,-743.349312234912
0.639365067323603,0.59628173019198,0.0926618125825302,4.07962990077355e-05,0.00065218489392876,0.0201232711342778,-741.071193935447
0.399460040969672,0.367628148438836,0.0786335924071238,0.000113850404560207,0.00254997544145001,0.0193821766800232,-742.085856326887
0.475588457546104,0.44378051401241,0.0706929583114686,8.35214943407064e-05,0.00150150733879997,0.0195361535377487,-742.276226657877
0.449231224354309,0.41100466302438,0.110356183299555,4.65652920122188e-05,0.00149559389662358,0.0206944022804051,-739.27814003271
0.500062335722866,0.466513868563411,0.127340866793779,0.000116324817846933,0.00128179657605194,0.0175190480044926,-742.818497271045
0.528932403551615,0.491982353893663,0.166855317421798,3.05708232762457e-05,0.00248699555342799,0.0208222633937165,-745.692104307271
0.529301248481749,0.489333130227313,0.12981388826038,3.71182856904064e-05,0.00125583185669783,0.0203368455084586,-740.175204186083
0.559018032104098,0.523033931678668,0.107312731353497,6.62733918540742e-05,0.00128712915506443,0.0182271465207842,-741.374101557169
0.505454106255608,0.461498177094562,0.0996162038739799,2.1034688974929e-05,0.000284584269754215,0.0204777082104193,-743.348657110717
